zip_code,city,state,metro,county_name,date,rental_price
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-11-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2010-12-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-01-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-02-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-03-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-04-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-05-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-06-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-07-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-08-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-09-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-10-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-11-01,NA
10002,New York,NY,New York-Newark-Jersey City,New York County,2011-12-01,3000
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-01-01,2695
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-02-01,2875
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-03-01,2750
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-04-01,2697.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-05-01,2750
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-06-01,2795
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-07-01,2750
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-08-01,2650
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-09-01,2695
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-10-01,2800
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-11-01,2800
10002,New York,NY,New York-Newark-Jersey City,New York County,2012-12-01,2850
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-01-01,2850
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-02-01,2800
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-03-01,2850
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-04-01,2800
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-05-01,2800
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-06-01,2872.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-07-01,2995
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-08-01,3050
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-09-01,2980
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-10-01,2775
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-11-01,3000
10002,New York,NY,New York-Newark-Jersey City,New York County,2013-12-01,2900
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-01-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-02-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-03-01,3050
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-04-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-05-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-06-01,3125
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-07-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-08-01,3397.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-09-01,3397.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-10-01,3250
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-11-01,3397.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2014-12-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-01-01,3395
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-02-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-03-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-04-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-05-01,3000
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-06-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-07-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-08-01,3397.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-09-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-10-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-11-01,3118
10002,New York,NY,New York-Newark-Jersey City,New York County,2015-12-01,3195
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-01-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-02-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-03-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-04-01,3250
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-05-01,3195
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-06-01,3250
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-07-01,3197.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-08-01,3197.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-09-01,3000
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-10-01,2975
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-11-01,2975
10002,New York,NY,New York-Newark-Jersey City,New York County,2016-12-01,3000
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-01-01,3112.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-02-01,3347.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-03-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-04-01,3250
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-05-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-06-01,3285
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-07-01,3295
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-08-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-09-01,2900
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-10-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-11-01,2970
10002,New York,NY,New York-Newark-Jersey City,New York County,2017-12-01,3112.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-01-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-02-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-03-01,3247.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-04-01,3225
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-05-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-06-01,3300
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-07-01,3297.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-08-01,3400
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-09-01,3325
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-10-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-11-01,3195
10002,New York,NY,New York-Newark-Jersey City,New York County,2018-12-01,3197.5
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-01-01,3100
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-02-01,3195
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-03-01,3160
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-04-01,3195
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-05-01,3325
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-06-01,3350
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-07-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-08-01,3200
10002,New York,NY,New York-Newark-Jersey City,New York County,2019-09-01,3125
